Parcel(s),SFPUC Code,Building Address,Facility,Notes,Department Name,Department Code,Building Category,Facility Type,Year Built,Year Renovated,Building Floor Area (sq.ft.),2019 ENERGY STAR score,2019 Energy Use Intensity (kBtu/sq.ft.),2019 Carbon Intensity (lbs CO2e/sq.ft.)
7540/014,33,80 Digby St,Fire Station 26,,Fire Department,SFFD,Public Safety,Fire Station,1968,1997,15000,,32.54360189,2.690862963
0077/024,34,1814 Stockton St,Fire Station 28,,Fire Department,SFFD,Public Safety,Fire Station,1967,1997,9350,,64.92006002,5.314702193
3935/002,35,299 Vermont St,Fire Station 29,,Fire Department,SFFD,Public Safety,Fire Station,1956,1996,8300,,74.77677465,6.098077607
1532/007,38,441 12th Ave,Fire Station 31,,Fire Department,SFFD,Public Safety,Fire Station,1913,N/A,8500,,85.88617492,6.702156058
5720/059,39,194 Park St,Fire Station 32,,Fire Department,SFFD,Public Safety,Fire Station,1941,1991,10900,,54.20357391,4.631488609
7147/046,40,8 Capitol Ave,Fire Station 33,,Fire Department,SFFD,Public Safety,Fire Station,1973,1998,5900,,52.50990488,2.84102708
1494/001,41,499 41st Ave,Fire Station 34,,Fire Department,SFFD,Public Safety,Fire Station,1929,1998,4400,,96.61509082,7.031483517
9900/022H,1379,Pier 22 1/2,Fire Station 35 (Fire Boat House),,Fire Department,SFFD,Public Safety,Fire Station,1908,1994,4712,,143.5225028,5.656880902
0837/025,43,109 Oak St,Fire Station 36,,Fire Department,SFFD,Public Safety,Fire Station,1961,1996,16100,,44.1989156,2.918893903
4098/020,44,789 Wisconsin St,Fire Station 37,,Fire Department,SFFD,Public Safety,Fire Station,1915,1990,6950,,58.4731924,4.301762099
0638/016,45,2150 California St,Fire Station 38,,Fire Department,SFFD,Public Safety,Fire Station,1960,N/A,13400,,82.98463069,7.564411863
2982/029,46,1091 Portola Dr,Fire Station 39,,Fire Department,SFFD,Public Safety,Fire Station,1923,1998,8450,,57.38414097,4.989445972
2199/003,48,2155 18th Ave,Fire Station 40,,Fire Department,SFFD,Public Safety,Fire Station,1931,1995,7350,,65.86226765,4.684563245
0216/003,49,1325 Leavenworth St,Fire Station 41,,Fire Department,SFFD,Public Safety,Fire Station,1956,N/A,9600,,15.59637342,0
5924/004,50,2430 San Bruno Ave,Fire Station 42,,Fire Department,SFFD,Public Safety,Fire Station,1979,1998,9300,,38.66730366,2.563622937
6338/024,51,720 Moscow St,Fire Station 43,,Fire Department,SFFD,Public Safety,Fire Station,1970,1995,10800,,65.64261659,4.135732126
6194/010,13,1298 Girard St,Fire Station 44,,Fire Department,SFFD,Public Safety,Fire Station,1915,1998,8450,,56.05647957,4.141441637
1939/026-B,2006,849 Avenue D,Fire Station 48 - Treasure Island,,Fire Department,SFFD,Public Safety,Fire Station,1899,N/A,15000,,31.22125717,1.263242955
5236/017,1170,1415 Evans Ave,Fire Station 49,,Fire Department,SFFD,Public Safety,Fire Station,1958,2002,75000,,13.02917704,0.2846113158
3551/001,523,1940 Harrison St,Flynn Division - Motor Coach,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1941,1989,268947,,51.55444921,2.702385158
2841/004,1221,270 Laguna Honda Blvd,Forest Hill Station,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.  Building with no gas services.,Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1918,1986,26000,,9.207636323,0
1888/001,1102,1530 43rd Ave,Francis Scott Key Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1936,N/A,52000,54,34.87114434,2.836141871
0053/001,1079,2190 Powell St,Francisco Middle,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1926,N/A,104897,91,15.58546331,0.9337677918
1638/009,1095,651 06th Ave,Frank McCoppin Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1976,N/A,32700,69,21.44055644,0.8210844364
1670/009,307,855 27th Ave,Fulton Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1955,2012,1420,,71.33912338,5.350451578
0475/001,1078,1150 Francisco St,Galileo High,,San Francisco Unified School District,SFUSD,Education,High School,1924,N/A,242400,89,32.80264263,2.627188947
0087/071,1080,420 Filbert St,Garfield Elementary,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1979,N/A,33800,100,9.702938521,0.4163791431
6523/001,310,1271 Treat St,Garfield Pool and Garfield Square Clubhouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1958,N/A,21160,,2.3031,0
0705/001,1084,1430 Scott St,Gateway High / KIPP San Francisco Bay Academy,,San Francisco Unified School District,SFUSD,Education,High School,1913,N/A,143237,69,30.52888093,2.521541017
0753/026-B,2040,1512 Golden Gate Ave,Gateway Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1908,N/A,31121,53,33.48785755,2.442341904
3731/010,755,270 6th St,Gene Friend Rec Center @ SOMA,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1989,N/A,16354,,66.85411819,4.451734796
3613/001,1377,2576 Harrison St,George Moscone Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1997,N/A,32763,13,57.08535957,3.491808526
1427/010,1096,251 06th Ave,George Peabody Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1976,N/A,21799,17,56.03123589,3.654813008
1574/001,1099,600 32nd Ave,George Washington High,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,K-12 School,1936,N/A,228800,75,47.53173969,4.16617645
1700/001-C,1299,1000 Great Hwy,GGP -- Beach Chalet and Visitor Center,,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1925,1996,18045,,198.7714766,21.55754315
1700/001-D,278,36th Ave & JFK Jr Dr,GGP -- Bercut Equestrian Field,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1930,N/A,20632,,10.59420047,0
1700/001-E,293,100 John F. Kennedy Dr,GGP -- Conservatory of Flowers,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",Recreation & Park Department,RPD,Museums and Art,Museum,1879,2003,27900,,204.2533943,23.89989392
1700/001-F,314,09th Ave & Lincoln Way,GGP -- County Fair Building/Hall Of Flowers,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1961,1969,23477,,75.65899635,6.758806956
1700/001-G,272,North Dr Opp 48th Avenue,GGP -- Dutch Windmill,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1902,N/A,2500,,10.18577536,0
1700/001-H,1141,970 47th Ave,GGP -- Golf Course Clubhouse,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1951,N/A,2470,,54.95737409,0
1700/001-I,1139,Stanyan St & Beulah St,GGP -- Kezar Pavilion,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1925,N/A,24254,,140.1338824,14.09668626
1700/001-J,331,755 Stanyan St,GGP -- Kezar Stadium,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1924,N/A,5000,,109.8799798,0
1700/001-K,298,100 ML King Dr,GGP -- Maintenance Yard and Nursery,,Recreation & Park Department,RPD,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1957,N/A,43947,,200.3529786,18.63155766
1700/001-L,754,501 Stanyan St,GGP -- McLaren Lodge and Annex,,Recreation & Park Department,RPD,Offices,General Office,1896,1950,17252,57,89.0551109,6.357057331
1700/001-M,359,36th Ave & John F Kennedy Dr,GGP -- Model Yacht Clubhouse,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1938,N/A,3168,,21.24084596,2.485412627
1700/001-N,391,MLK Jr Dr & La Playa St,GGP -- Murphy Millzright's Cottage,,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1904,2011,2960,,65.75158081,1.936136743
1700/001-O,363,GG Park Music Concourse,GGP -- Music Concourse,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1900,N/A,5095,,149.4243713,0
1700/001-P,1973,811 Stanyan St,GGP -- Park Aid Station / Natural Areas Program,,Recreation & Park Department,RPD,Offices,General Office,1902,2012,2733,33,91.1723255,5.189542745
1700/001-Q,1326,1700 John F Kennedy Dr,GGP -- Pioneer Log Cabin,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1911,1931,2256,,33.71346383,0
1700/001-R,396,9th Ave & Lincoln Way,GGP -- San Francisco Botanical Garden,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",Recreation & Park Department,RPD,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1955,N/A,29763,,20.0787555,2.34943526
1700/001-S,1137,Fulton St & 37th Ave,GGP -- Senior Center,,Recreation & Park Department,RPD,Education,College / Adult Education,1930,N/A,5940,,153.1969972,14.14546767
1700/001-T,317,300 Bowling Green Dr,GGP -- Sharon Arts Studio,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",Recreation & Park Department,RPD,Museums and Art,Art/Cultural Center,1888,1992,11376,,88.27083263,7.60120983
1700/001-U,394,50 Stow Lake Dr,GGP -- Stow Lake Boathouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1945,N/A,4647,,106.0563311,6.870386351
6745/073,244,2825 Diamond St,Glen Park Branch Library,,Public Library,SFPL,Libraries,Library,2007,N/A,7185,,51.89659697,1.779495471
6757/002,1011,175 Lippard Ave,Glen Park Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1936,N/A,45200,75,34.13770204,2.997153925
7560/002,387,70 Elk St,Glen Park Rec Center / Glenridge Nursery School,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1934,N/A,22301,,38.24764611,3.178133352
4713/005,1339,1195 Hudson Ave,Gloria R Davis Middle/Kipp SF College Prep,,San Francisco Unified School District,SFUSD,Offices,General Office,1976,N/A,60700,40,46.912644,3.42872302
0554/001,245,1801 Green St,Golden Gate Valley Branch Library,,Public Library,SFPL,Libraries,Library,1917,2011,7432,,41.48268703,2.280643893
0204/023-B,211,250 Clay St,Golden Gateway Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1965,N/A,226800,,6.988466524,0
0211/007,2017,950 Clay St,Gordon J Lau Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1914,1956,63800,,21.57085107,1.186073363
1283/001,312,1180 Stanyan St,Grattan Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1949,N/A,1854,,18.80078252,1.238208635
1281/013,1091,165 Grattan St,Grattan Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1971,N/A,55420,88,26.92074874,2.309472626
6949/015,1702,2200 San Jose Ave,Green Division and Annex - LRV,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1977,1983,208371,,56.46190428,1.547783498
6440/001,1015,859 Prague St,Guadalupe Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1922,N/A,40777,43,36.17991853,2.505005876
OUTSIDE-SF-003,696,10501 Warnerville Rd,H. Hetchy-Warnerville Substation/Switchyard,Building with no gas services.,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,N/A,N/A,1835,,326.9086474,0
3759/042-A,474,850 Bryant St,Hall of Justice,,Real Estate Division,RED,Offices,General Office,1959,N/A,636775,32,133.5407333,10.15765827
3758/127,107,950 Bryant St,Hall of Justice Gas Station,,Central Shops (General Services Agency),GSA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1959,N/A,4360,,60.99005477,3.206826009
0345/007,57,260 Golden Gate Ave,Hamilton Family Shelter,,Human Services Agency,HSA,Health & Human Services,Homeless Service,1966,N/A,50000,,76.8337487,6.989598026
0703/002-A,315,1900 Geary Blvd,Hamilton Rec Center and Pool,,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1953,2010,16988,,480.2690969,36.15643344
OUTSIDE-SF-004,576,2901 Crystal Springs,Harry Tracy Water Filtration,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Water Treatment,N/A,N/A,38870,,634.9713091,1.981793663
0876/001,302,50 Scott St,Harvey Milk Center for the Arts,,Recreation & Park Department,RPD,Museums and Art,Art/Cultural Center,1950,2009,23125,,29.80487498,1.392114654
2697/001,1040,4235 19th St,Harvey Milk Civil Rights Academy,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1952,N/A,30560,50,33.89556819,2.393265497
0819/026,316,685 Hayes St,Hayes Valley Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2011,N/A,2187,,56.58687078,2.985358838
0573/001,567,1965 Larkin St,Helen Wills Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2005,N/A,3082,,38.4289255,2.536579796
2336/028,1115,2290 14th Ave,Herbert Hoover Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1956,N/A,132400,72,32.76918735,2.651409959
5911/004,1024,810 Silver Ave,Hillcrest Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1951,N/A,60280,52,42.97806727,4.226816616
4273/008,1394,1325 Florida St,Hilltop County Community High / Sunshine Building,,San Francisco Unified School District,SFUSD,Education,High School,1937,N/A,61442,53,42.68508267,3.534159931
3513/207-B,91,170 Otis St,Human Services Agency Headquarters,,Human Services Agency,HSA,Offices,General Office,1979,N/A,171385,73,64.4457962,1.412578481
0823/011,1001,1099 Hayes St,Ida B Wells High,,San Francisco Unified School District,SFUSD,Education,High School,1910,N/A,34300,23,69.07478038,6.500551222
1761/040,1798,1350 07th Ave,Independence High (Old Laguna Honda),,San Francisco Unified School District,SFUSD,Education,High School,1908,N/A,30114,60,38.41033838,3.066547695
3199/017,1928,1298 Ocean Ave,Ingleside Branch Library,,Public Library,SFPL,Libraries,Library,2009,N/A,6100,,56.06606118,3.472042466
3179/011-B,74,1 Sgt John V Young Ln,Ingleside Police Station,,Police Department,SFPD,Public Safety,Police Station,1910,1990,18500,,39.91701343,1.513900968
3514/042,70,160 South Van Ness Ave,Investigations -- 160 South Van Ness,,Human Services Agency,HSA,Offices,General Office,1936,2002,14219,41,72.05096333,1.561400248
4352/001,778,1301 Cesar Chavez St,Islais Creek - Motor Coach,Building with no gas services.,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,2013,N/A,16200,,204.5468305,0
2126/013,362,1960 09th Ave,J. P. Murphy Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1950,2008,1820,,34.29647165,2.519594005
3981/001,325,190 Arkansas St,Jackson Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1912,N/A,8060,,49.68416084,3.174453264
6961/021,1016,241 Oneida Ave,James Denman Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1940,N/A,150900,53,34.04194983,2.54486906
6547/001,1036,1220 Noe St,James Lick Middle,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1932,N/A,116000,26,59.61081182,6.099883797
4276/014,327,1499 Hampshire St,James Rolph Jr Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1921,2008,2730,,157.5961248,5.353488986
0701/001-B,1219,1650 Fillmore St,Japan Center Garage - Fillmore Street Annex,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1965,N/A,59308,,5.989214055,0
0700/032,213,1660 Geary Blvd,Japan Center Main Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1965,N/A,237566,,5.42053375,0
0148/008,1241,840 Broadway St,Jean Parker Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1996,N/A,46000,59,28.25063977,1.756614919
1779/007-A,420,1350 25th Ave,Jefferson Early Education,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1960,N/A,2400,,41.99639183,2.660537613
1773/001-A,1110,1725 Irving St,Jefferson Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1923,N/A,42434,68,32.35545579,2.71998045
6316/002,1014,2055 Sunnydale Ave,John McLaren CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1954,N/A,57885,,33.87258229,3.060222229
0841/010,1068,380 Webster St,John Muir Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1928,N/A,53500,59,35.15292235,2.978098358
3593/040,1064,2355 Folsom St,John O'Connell High,,San Francisco Unified School District,SFUSD,Education,High School,1999,N/A,130091,57,38.56096989,2.694105711
0143/003,1081,350 Broadway St,John Yehall Chin Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1914,N/A,23100,54,28.39633898,1.733854815
3611/013,306,2490 Folsom St,Jose Coronado Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1995,N/A,933,,89.59117814,0.0125413719
7074/050,1003,400 Sargent St,Jose Ortega Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1953,N/A,35180,33,44.6845199,3.693775841
5310/001-B,328,1395 Mendell St,Joseph Lee Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1950,2007,16383,,105.1601128,8.772753845
1300/001-B,324,3550 Pacific Ave,Julius Kahn Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1922,N/A,1105,,32.31114896,2.829336569
6071/002,1021,325 La Grande Ave,June Jordan High / City Arts and Tech High,,San Francisco Unified School District,SFUSD,Education,High School,1957,N/A,151600,86,33.68780149,2.904889307
5710/005,723,155 Appleton Ave,Junipero Serra Annex CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1970,N/A,5800,,46.42619841,1.939638894
7237/009,329,300 Stonecrest Dr,Junipero Serra Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1955,2008,1578,,46.2194109,2.794842586
5718/001,1049,625 Holly Park Cir,Junipero Serra Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1977,N/A,34200,43,28.66412435,1.12813658
0019/001,505,2301 Stockton St,Kirkland Division - Motor Coach,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1949,N/A,9352,,127.278096,4.482739956
1579/001,1098,4545 Anza St,Lafayette Elementary,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1927,N/A,54283,76,31.19261369,2.613163036
2842/007-A,191,375 Laguna Honda Blvd,Laguna Honda Hospital,,Department of Public Health,DPH,Hospitals,Hospital,1926,2010,717126,79,255.2033113,20.30289405
7283/004-A,335,1 Harding Rd,Lake Merced Boathouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1958,2013,9100,,39.95226809,3.101215826
7298/005-A,1121,220 Middlefield Dr,Lakeshore Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1954,N/A,56101,56,35.1405932,3.058016503
1068/001,337,127 Collins St,Laurel Hill Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1953,N/A,1134,,150.9647623,16.16062241
1876/002,1111,1570 31st Ave,Lawton Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1934,N/A,64940,65,36.94968936,3.554635258
5310/001-A,1133,1520 Oakdale Ave,Leola M Havard Early Education,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1969,N/A,74100,,28.83252331,2.713412452
5503/001,1045,3125 Cesar Chavez St,Leonard R Flynn Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1926,N/A,52700,45,39.41096144,3.222019115
3779/166-B,2143,750 BRANNAN ST,Library - 750 Brannan St,Building with no gas services.,Public Library,SFPL,Libraries,Library,1963,N/A,24173,,13.31631346,0
3509/008A,1429,190 09th St,Library Support Services Building,,Public Library,SFPL,Offices,General Office,1925,2001,43182,77,32.94663664,0.2519386489
1313/029-B,411,300 34th Ave,Lincoln Park Golf Course,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1936,N/A,6329,,84.32289455,2.000575652
OUTSIDE-SF-005,95,Alpine Rd,Log Cabin Ranch Youth Guidance,,Juvenile Probation,JUV,Recreation Facilities,Camp,1953,1966,80758,,7.370089844,0
0509/009,710,2055 Lombard St,Lombard Street Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1988,N/A,71263,,4.990541358,0
6474/041,1005,755 Morse St,Longfellow Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1960,N/A,40500,,34.57330068,2.494569961
7298/005-B,1002,1101 Eucalyptus Dr,Lowell High,,San Francisco Unified School District,SFUSD,Education,High School,1962,N/A,245000,,25.5345285,2.124711648
0354/001,248,100 Larkin St,Main Library,Building with no gas services.,Public Library,SFPL,Libraries,Library,1996,N/A,376000,,77.4968781,4.537018915
4700/071,1028,350 Harbor Rd,Malcolm X Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1957,N/A,50800,63,32.6040534,2.657158574
0469/001-A,249,1868 Chestnut St,Marina Branch Library,,Public Library,SFPL,Libraries,Library,1954,2007,7633,,65.40642725,2.924845771
0468A/001,1120,3500 Fillmore St,Marina Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1936,N/A,152900,63,35.60337078,3.282790899
3553/031,1062,1575 15th St,Marshall Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1977,N/A,34300,78,23.63861103,1.586024406
5420/001,343,5701 03rd St,Martin Luther King Jr Swimming Pool,,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,2001,N/A,23851,,220.7700701,17.45496764
0728/005A,185,1301 Pierce St,Maxine Hall Health Center (Health Center #2),,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1966,2006,20590,,66.87295983,5.309361338
2351/001-A,344,24th Ave & Taraval St,Mccoppin Square Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1955,N/A,2000,,44.378156,1.534482254
2612/001,1092,1025 14th St,McKinley Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1977,N/A,45160,89,14.32622585,0.5542035833
3520/051,88,1440 Harrison St,MediCal -- 1440 Harrison,,Human Services Agency,HSA,Offices,General Office,1921,N/A,52200,78,45.99207831,1.693395745
3509/011,725,1380 Howard St,Mental Health Services -- 1380 Howard,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1927,N/A,84000,23,79.08686367,0.8695853553
7236/001,250,155 Winston Dr,Merced Branch Library,,Public Library,SFPL,Libraries,Library,1958,2011,5832,,68.2372216,4.00545988
7078/049,346,801 Shields St,Merced Heights Clubhouse and Playground,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1950,N/A,1136,,63.15321901,0.9963445449
4298/001,1900,Illinois St & 25th St,Metro East Facility - LRV,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,2008,N/A,180000,,201.7648584,3.140396538
2736/002,347,280 Olympia Way,Midtown Terrace Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1961,N/A,2176,,28.97380772,2.486860164
OUTSIDE-SF-006,571,1000 El Camino Real,Millbrae Yard,,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,N/A,N/A,60045,,130.9204906,7.033528969
7068/001,366,650 Capitol Ave,Minnie & Lovie Ward Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,2007,2008,19461,,86.77891116,4.668234444
2955B/003,355,25 Omar Way,Miraloma Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1949,N/A,1352,,12.76494408,0.6908149423
2955B/002,1129,175 Omar Wy,Miraloma Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1952,N/A,51900,53,40.30291046,3.735669739
3616/063,216,40 Bartlett St,Mission Bartlett Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1983,N/A,113759,,5.789251516,0
8708/110,1883,960 4th St,Mission Bay Branch Library,Building with no gas services.,Public Library,SFPL,Libraries,Library,2006,N/A,7500,,54.00827504,0
6515/001,251,3359 24th St,Mission Branch Library,,Public Library,SFPL,Libraries,Library,1916,1999,10479,,47.25433419,0.8634962917
3597/061,358,119 Linda St,Mission Community Pool / Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1916,2012,8500,,335.5179433,34.0162389
6516/007,4,2868 Mission St,Mission Cultural Center for Latino Arts,,Arts Commission,SFAC,Museums and Art,Art/Cultural Center,1948,N/A,32230,,13.54333461,0.4919617309
6640/001,1035,1670 Noe St,Mission Education Center Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1911,N/A,17500,33,59.36143371,5.494241475
3579/006,1044,3750 18th St,Mission High,,San Francisco Unified School District,SFUSD,Education,High School,1922,N/A,225000,80,41.12055973,3.68855065
3643/003,1456,2712 Mission St,Mission Mental Health Services,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1943,2002,32000,93,27.20030819,1.199817476
3570/043,1810,165 Capp St,Mission Neighborhood Resource Center,,Human Services Agency,HSA,Health & Human Services,Homeless Service,1922,N/A,6500,,124.4980034,7.906739299
3577/001A,811,630 Valencia St,Mission Police Station,,Police Department,SFPD,Public Safety,Police Station,1994,N/A,25000,,77.44805224,3.647752399
4151/006,1056,1050 York St,Mission Prep (former SF International High),,San Francisco Unified School District,SFUSD,Education,High School,1980,N/A,33100,,38.76656392,2.346120218
3612/003,356,2450 Harrison St,Mission Rec Center / Mission Arts Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1984,2012,30850,,47.40311503,2.795091254
4710/007,1911,200 Cashmere St,MLK Child Care Center,,Human Services Agency,HSA,Education,Childcare / Teen Center / Family Center,1971,N/A,7409,,27.20583679,2.623484853
OUTSIDE-SF-007,20001,1 Lakeshore Dr,Moccasin Administration Building,"Building with no gas services.  The ENERGY STAR rating of the Moccasin Administration Building assumes on-site energy generation. Located at the site of the SFPUC’s Moccasin Powerhouse in Moccasin, California, the all-electric facility obtains its energy from hydropower resources in the immediate vicinity. Therefore, the conversion and transmission losses of a typical building are not applicable.",San Francisco Public Utilities Commission,SFPUC,Offices,General Office,N/A,N/A,12241,12,57.45684241,0
6010/024,1022,260 Madrid St,Monroe Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1977,N/A,53400,92,14.73850174,0.5980971249
